// * Summary *

BenchmarkDotNet v0.13.12, Windows 10 (10.0.19045.4529/22H2/2022Update)
11th Gen Intel Core i7-11700K 3.60GHz, 1 CPU, 16 logical and 8 physical cores
.NET SDK 8.0.203
  [Host]     : .NET 8.0.3 (8.0.324.11423), X64 RyuJIT AVX-512F+CD+BW+DQ+VL+VBMI
  DefaultJob : .NET 8.0.3 (8.0.324.11423), X64 RyuJIT AVX-512F+CD+BW+DQ+VL+VBMI


| Method                                            | Count  | Mean                 | Error             | StdDev            | Median               | Gen0    | Gen1    | Gen2    | Allocated |
|-------------------------------------------------- |------- |---------------------:|------------------:|------------------:|---------------------:|--------:|--------:|--------:|----------:|
| IntersectArrays_Stupid                            | 10     |            58.836 ns |         0.4234 ns |         0.3961 ns |            58.756 ns |  0.0134 |       - |       - |     112 B |
| IntersectArrays_Linq                              | 10     |           132.791 ns |         1.9312 ns |         1.8064 ns |           132.829 ns |  0.0591 |       - |       - |     496 B |
| IntersectArrays_WithHashSet                       | 10     |           202.358 ns |         0.9468 ns |         0.8393 ns |           202.329 ns |  0.0477 |       - |       - |     400 B |
| IntersectHashSets_Stupid                          | 10     |            73.938 ns |         0.3877 ns |         0.3626 ns |            74.100 ns |  0.0191 |       - |       - |     160 B |
| IntersectHashSets_Linq                            | 10     |           142.952 ns |         1.9135 ns |         1.5978 ns |           142.774 ns |  0.0706 |       - |       - |     592 B |
| IntersectHashSets_IntersectWith                   | 10     |             5.669 ns |         0.0224 ns |         0.0210 ns |             5.665 ns |       - |       - |       - |         - |
| IntersectFrozenSets_Stupid                        | 10     |            77.492 ns |         0.3767 ns |         0.3523 ns |            77.495 ns |  0.0181 |       - |       - |     152 B |
| IntersectFrozenSets_Linq                          | 10     |           125.172 ns |         2.4748 ns |         2.3150 ns |           125.352 ns |  0.0591 |       - |       - |     496 B |
| IntersectCombo_HashSetWithArray_Linq              | 10     |           133.995 ns |         1.1151 ns |         1.0431 ns |           134.094 ns |  0.0601 |       - |       - |     504 B |
| IntersectCombo_HashSetWithArray_IntersectWith     | 10     |             5.599 ns |         0.0192 ns |         0.0170 ns |             5.601 ns |       - |       - |       - |         - |
| IntersectCombo_ArrayWithHashSet                   | 10     |           129.764 ns |         1.7175 ns |         1.6066 ns |           130.004 ns |  0.0696 |       - |       - |     584 B |
| IntersectCombo_FrozenSetWithArray                 | 10     |           132.270 ns |         1.8124 ns |         1.5134 ns |           132.638 ns |  0.0591 |       - |       - |     496 B |
| IntersectCombo_ArrayWithFrozenSet                 | 10     |           130.010 ns |         1.5477 ns |         1.4477 ns |           130.103 ns |  0.0591 |       - |       - |     496 B |
| IntersectCombo_HashSetWithFrozenSet_Linq          | 10     |           133.499 ns |         1.7774 ns |         1.6626 ns |           133.441 ns |  0.0601 |       - |       - |     504 B |
| IntersectCombo_HashSetWithFrozenSet_IntersectWith | 10     |             5.639 ns |         0.0128 ns |         0.0113 ns |             5.639 ns |       - |       - |       - |         - |
| IntersectCombo_FrozenSetWithHashSet               | 10     |           135.151 ns |         1.6016 ns |         1.3374 ns |           135.042 ns |  0.0696 |       - |       - |     584 B |
| IntersectArrays_Stupid                            | 100    |           777.892 ns |         4.4053 ns |         3.6786 ns |           777.108 ns |  0.0134 |       - |       - |     112 B |
| IntersectArrays_Linq                              | 100    |           789.535 ns |         5.4132 ns |         4.2263 ns |           789.348 ns |  0.2880 |  0.0019 |       - |    2416 B |
| IntersectArrays_WithHashSet                       | 100    |         1,489.991 ns |         8.3021 ns |         7.7658 ns |         1,490.940 ns |  0.2766 |  0.0019 |       - |    2320 B |
| IntersectHashSets_Stupid                          | 100    |           476.081 ns |         2.0489 ns |         1.7109 ns |           475.659 ns |  0.0191 |       - |       - |     160 B |
| IntersectHashSets_Linq                            | 100    |           685.083 ns |         9.9607 ns |         9.3173 ns |           685.811 ns |  0.5007 |  0.0076 |       - |    4192 B |
| IntersectHashSets_IntersectWith                   | 100    |             5.275 ns |         0.0212 ns |         0.0188 ns |             5.276 ns |       - |       - |       - |         - |
| IntersectFrozenSets_Stupid                        | 100    |           321.451 ns |         2.9029 ns |         2.7154 ns |           321.867 ns |  0.0181 |       - |       - |     152 B |
| IntersectFrozenSets_Linq                          | 100    |           843.421 ns |         3.3357 ns |         2.9570 ns |           843.238 ns |  0.2880 |  0.0019 |       - |    2416 B |
| IntersectCombo_HashSetWithArray_Linq              | 100    |           862.584 ns |         6.4424 ns |         6.0262 ns |           862.979 ns |  0.2890 |  0.0019 |       - |    2424 B |
| IntersectCombo_HashSetWithArray_IntersectWith     | 100    |             5.586 ns |         0.0202 ns |         0.0179 ns |             5.582 ns |       - |       - |       - |         - |
