
| Method                                  | Count  | Mean          | Error        | StdDev       | Median        | Gen0     | Gen1     | Gen2     | Allocated |
|---------------------------------------- |------- |--------------:|-------------:|-------------:|--------------:|---------:|---------:|---------:|----------:|
| ArrayHasDuplicates_DistinctLinq         | 10     |      66.29 ns |     0.525 ns |     0.439 ns |      66.35 ns |   0.0516 |        - |        - |     432 B |
| ArrayHasDuplicates_GroupByLinq          | 10     |     154.87 ns |     1.037 ns |     0.970 ns |     154.99 ns |   0.1099 |   0.0002 |        - |     920 B |
| ArrayHasDuplicates_HashSet1             | 10     |      40.30 ns |     0.356 ns |     0.315 ns |      40.31 ns |   0.0325 |        - |        - |     272 B |
| ArrayHasDuplicates_HashSet2             | 10     |      25.34 ns |     0.093 ns |     0.082 ns |      25.34 ns |   0.0210 |        - |        - |     176 B |
| ArrayHasDuplicates_HashSet3             | 10     |      54.74 ns |     0.214 ns |     0.200 ns |      54.74 ns |   0.0440 |        - |        - |     368 B |
| ArrayHasDuplicates_MostaExisting        | 10     |      35.82 ns |     0.274 ns |     0.214 ns |      35.90 ns |   0.0258 |        - |        - |     216 B |
| ReadOnlyListHasDuplicates_DistinctLinq  | 10     |      64.43 ns |     1.293 ns |     1.146 ns |      64.00 ns |   0.0516 |        - |        - |     432 B |
| ReadOnlyListHasDuplicates_GroupByLinq   | 10     |     144.73 ns |     1.024 ns |     0.957 ns |     144.64 ns |   0.1099 |   0.0002 |        - |     920 B |
| ReadOnlyListHasDuplicates_HashSet1      | 10     |      40.45 ns |     0.397 ns |     0.371 ns |      40.51 ns |   0.0325 |        - |        - |     272 B |
| ReadOnlyListHasDuplicates_HashSet2      | 10     |      33.19 ns |     0.172 ns |     0.153 ns |      33.18 ns |   0.0249 |        - |        - |     208 B |
| ReadOnlyListHasDuplicates_HashSet3      | 10     |      55.22 ns |     0.190 ns |     0.178 ns |      55.25 ns |   0.0440 |        - |        - |     368 B |
| ReadOnlyListHasDuplicates_MostaExisting | 10     |      37.45 ns |     0.674 ns |     0.630 ns |      37.25 ns |   0.0258 |        - |        - |     216 B |
| ArrayHasDuplicates_DistinctLinq         | 100    |     396.98 ns |     1.623 ns |     1.518 ns |     397.29 ns |   0.3424 |   0.0024 |        - |    2864 B |
| ArrayHasDuplicates_GroupByLinq          | 100    |     964.70 ns |     9.513 ns |     7.427 ns |     964.17 ns |   0.6380 |   0.0076 |        - |    5344 B |
| ArrayHasDuplicates_HashSet1             | 100    |      40.85 ns |     0.251 ns |     0.210 ns |      40.82 ns |   0.0325 |        - |        - |     272 B |
| ArrayHasDuplicates_HashSet2             | 100    |      25.34 ns |     0.072 ns |     0.063 ns |      25.33 ns |   0.0210 |        - |        - |     176 B |
| ArrayHasDuplicates_HashSet3             | 100    |     388.07 ns |     2.859 ns |     2.675 ns |     387.34 ns |   0.3347 |   0.0033 |        - |    2800 B |
| ArrayHasDuplicates_MostaExisting        | 100    |     153.56 ns |     2.820 ns |     2.638 ns |     152.96 ns |   0.0257 |        - |        - |     216 B |
| ReadOnlyListHasDuplicates_DistinctLinq  | 100    |     409.02 ns |     4.258 ns |     3.774 ns |     409.80 ns |   0.3424 |   0.0024 |        - |    2864 B |
| ReadOnlyListHasDuplicates_GroupByLinq   | 100    |     963.95 ns |     5.839 ns |     5.461 ns |     963.54 ns |   0.6371 |   0.0076 |        - |    5344 B |
| ReadOnlyListHasDuplicates_HashSet1      | 100    |      40.92 ns |     0.487 ns |     0.380 ns |      41.01 ns |   0.0325 |        - |        - |     272 B |
| ReadOnlyListHasDuplicates_HashSet2      | 100    |      33.00 ns |     0.541 ns |     0.506 ns |      33.02 ns |   0.0249 |        - |        - |     208 B |
| ReadOnlyListHasDuplicates_HashSet3      | 100    |     393.07 ns |     2.404 ns |     2.248 ns |     392.68 ns |   0.3347 |   0.0033 |        - |    2800 B |
| ReadOnlyListHasDuplicates_MostaExisting | 100    |     170.36 ns |     1.845 ns |     1.726 ns |     170.34 ns |   0.0257 |        - |        - |     216 B |
| ArrayHasDuplicates_DistinctLinq         | 1000   |   2,865.63 ns |    28.097 ns |    26.282 ns |   2,858.98 ns |   2.7237 |   0.0496 |        - |   22784 B |
| ArrayHasDuplicates_GroupByLinq          | 1000   |   5,773.93 ns |    31.609 ns |    29.567 ns |   5,776.97 ns |   3.1662 |   0.1755 |        - |   26512 B |
| ArrayHasDuplicates_HashSet1             | 1000   |      41.61 ns |     0.790 ns |     0.617 ns |      41.57 ns |   0.0325 |        - |        - |     272 B |
| ArrayHasDuplicates_HashSet2             | 1000   |      33.54 ns |     0.675 ns |     0.878 ns |      33.46 ns |   0.0210 |        - |        - |     176 B |
| ArrayHasDuplicates_HashSet3             | 1000   |   3,383.26 ns |    39.924 ns |    37.345 ns |   3,389.41 ns |   2.7084 |   0.2251 |        - |   22720 B |
| ArrayHasDuplicates_MostaExisting        | 1000   |   1,521.73 ns |    19.369 ns |    18.118 ns |   1,522.48 ns |   0.0248 |        - |        - |     216 B |
| ReadOnlyListHasDuplicates_DistinctLinq  | 1000   |   3,064.60 ns |    57.794 ns |   125.640 ns |   3,072.98 ns |   2.7237 |   0.0496 |        - |   22784 B |
| ReadOnlyListHasDuplicates_GroupByLinq   | 1000   |   6,384.81 ns |   125.655 ns |   288.712 ns |   6,447.94 ns |   3.1662 |   0.1755 |        - |   26512 B |
