Valid strings:

| Method             | ValidString          | Mean         | Error      | StdDev     | Allocated |
|------------------- |--------------------- |-------------:|-----------:|-----------:|----------:|
| Naive_Valid        | AFHB5(...)FZXCV [31] |   156.105 ns |  3.0091 ns |  3.0901 ns |         - |
| HashSet_Valid      | AFHB5(...)FZXCV [31] |    82.098 ns |  0.4049 ns |  0.3787 ns |         - |
| FrozenSet_Valid    | AFHB5(...)FZXCV [31] |    63.286 ns |  0.2735 ns |  0.2559 ns |         - |
| Span_Valid         | AFHB5(...)FZXCV [31] |    28.844 ns |  0.5926 ns |  0.8687 ns |         - |
| SearchValues_Valid | AFHB5(...)FZXCV [31] |     1.950 ns |  0.0123 ns |  0.0109 ns |         - |
| Naive_Valid        | AFHB(...)ZXCV [124]  |   659.433 ns |  2.2750 ns |  2.0167 ns |         - |
| HashSet_Valid      | AFHB(...)ZXCV [124]  |   328.068 ns |  0.9935 ns |  0.8296 ns |         - |
| FrozenSet_Valid    | AFHB(...)ZXCV [124]  |   236.433 ns |  0.4652 ns |  0.3885 ns |         - |
| Span_Valid         | AFHB(...)ZXCV [124]  |    30.603 ns |  0.1539 ns |  0.1439 ns |         - |
| SearchValues_Valid | AFHB(...)ZXCV [124]  |     4.895 ns |  0.0148 ns |  0.0138 ns |         - |
| Naive_Valid        | AFHB(...)ZXCV [341]  | 1,823.495 ns |  4.7440 ns |  3.9615 ns |         - |
| HashSet_Valid      | AFHB(...)ZXCV [341]  |   906.884 ns |  3.9807 ns |  3.3241 ns |         - |
| FrozenSet_Valid    | AFHB(...)ZXCV [341]  |   649.524 ns |  2.8237 ns |  2.3579 ns |         - |
| Span_Valid         | AFHB(...)ZXCV [341]  |    38.996 ns |  0.1781 ns |  0.1579 ns |         - |
| SearchValues_Valid | AFHB(...)ZXCV [341]  |    11.259 ns |  0.0304 ns |  0.0284 ns |         - |
| Naive_Valid        | AFHB(...)ZXCV [1364] | 7,245.024 ns | 14.0680 ns | 11.7474 ns |         - |
| HashSet_Valid      | AFHB(...)ZXCV [1364] | 3,563.595 ns | 14.2381 ns | 13.3183 ns |         - |
| FrozenSet_Valid    | AFHB(...)ZXCV [1364] | 2,579.590 ns |  7.2071 ns |  6.3889 ns |         - |
| Span_Valid         | AFHB(...)ZXCV [1364] |    73.211 ns |  0.2499 ns |  0.2338 ns |         - |
| SearchValues_Valid | AFHB(...)ZXCV [1364] |    41.950 ns |  0.1305 ns |  0.1221 ns |         - |
|____________________|______________________|______________|____________|____________|___________|


Invalid strings (invalid char close to start):

| Method                     | InvalidStringStart   | Mean       | Error     | StdDev    | Allocated |
|--------------------------- |--------------------- |-----------:|----------:|----------:|----------:|
| Naive_InValid_Start        | AFHB5(...)FZXCV [32] |  30.422 ns | 0.6227 ns | 0.6116 ns |         - |
| HashSet_InValid_Start      | AFHB5(...)FZXCV [32] |  15.840 ns | 0.3130 ns | 0.2614 ns |         - |
| FrozenSet_InValid_Start    | AFHB5(...)FZXCV [32] |  11.348 ns | 0.2044 ns | 0.2433 ns |         - |
| Span_InValid_Start         | AFHB5(...)FZXCV [32] |  28.397 ns | 0.5657 ns | 0.5292 ns |         - |
| SearchValues_InValid_Start | AFHB5(...)FZXCV [32] |   3.086 ns | 0.0422 ns | 0.0374 ns |         - |
| Naive_InValid_Start        | AFHB(...)ZXCV [125]  |  69.903 ns | 0.5112 ns | 0.4532 ns |         - |
| HashSet_InValid_Start      | AFHB(...)ZXCV [125]  |  35.628 ns | 0.1291 ns | 0.1208 ns |         - |
| FrozenSet_InValid_Start    | AFHB(...)ZXCV [125]  |  36.463 ns | 0.3145 ns | 0.2942 ns |         - |
| Span_InValid_Start         | AFHB(...)ZXCV [125]  |  28.370 ns | 0.1085 ns | 0.0961 ns |         - |
| SearchValues_InValid_Start | AFHB(...)ZXCV [125]  |   2.265 ns | 0.0160 ns | 0.0142 ns |         - |
| Naive_InValid_Start        | AFHB(...)ZXCV [342]  | 201.419 ns | 0.5073 ns | 0.4236 ns |         - |
| HashSet_InValid_Start      | AFHB(...)ZXCV [342]  | 103.757 ns | 0.3317 ns | 0.2940 ns |         - |
| FrozenSet_InValid_Start    | AFHB(...)ZXCV [342]  |  81.356 ns | 0.2382 ns | 0.1859 ns |         - |
| Span_InValid_Start         | AFHB(...)ZXCV [342]  |  31.559 ns | 0.5461 ns | 0.4841 ns |         - |
| SearchValues_InValid_Start | AFHB(...)ZXCV [342]  |   3.168 ns | 0.0201 ns | 0.0178 ns |         - |
| Naive_InValid_Start        | AFHB(...)ZXCV [1365] | 401.563 ns | 1.2543 ns | 1.1732 ns |         - |
| HashSet_InValid_Start      | AFHB(...)ZXCV [1365] | 199.324 ns | 0.5431 ns | 0.4535 ns |         - |
| FrozenSet_InValid_Start    | AFHB(...)ZXCV [1365] | 146.891 ns | 0.5291 ns | 0.4949 ns |         - |
